work_order_id,asset_id,maintenance_date,maintenance_type,description,priority,status,contractor,labour_hours,material_cost,labour_cost,total_cost,completion_date
WO-00001,WA-0026,2023-08-14,Emergency Repair,Hydrant Testing completed for asset WA-0026,High,Cancelled,Rotorua Water Works,9.0,4460.32,940.93,5401.25,2023-08-18
WO-00002,WA-0068,2022-08-10,Inspection,Inspection completed for asset WA-0068,Medium,Completed,Bay Utility Services,9.7,42.45,897.69,940.14,2022-08-13
WO-00003,WA-0096,2023-08-16,Pipe Replacement,Leak Repair completed for asset WA-0096,Medium,Completed,Bay Utility Services,2.8,2179.15,254.1,2433.25,2023-09-02
WO-00004,WA-0070,2022-01-01,Inspection,Preventive Maintenance completed for asset WA-0070,High,Completed,Council Internal Crew,17.3,4023.09,1494.15,5517.24,2022-01-07
WO-00005,WA-0040,2022-05-17,Pump Service,Pump Service completed for asset WA-0040,Medium,Completed,Arawa Civil,1.6,1585.18,175.33,1760.51,2022-05-27
WO-00006,WA-9999,2026-07-22,Emergency Repair,Hydrant Testing completed for asset WA-0022,Low,Completed,Bay Utility Services,7.0,3461.58,685.09,4146.67,2026-07-27
WO-00007,WA-0090,2022-12-12,Emergency Repair,Pipe Replacement completed for asset WA-0090,Low,Completed,Arawa Civil,4.7,3071.12,473.21,3544.33,2022-12-17
WO-00008,WA-0039,2026-03-28,Pipe Replacement,Pump Service completed for asset WA-0039,Medium,Completed,Arawa Civil,7.1,326.64,793.85,1120.49,2026-04-01
WO-00009,WA-0086,2026-08-02,Emergency Repair,Leak Repair completed for asset WA-0086,Low,Open,Council Internal Crew,9.2,3458.71,787.98,4246.69,
WO-00010,WA-0051,2023-06-16,Pump Service,Hydrant Testing completed for asset WA-0051,Medium,Open,Council Internal Crew,4.6,4338.78,502.15,4840.93,
WO-00011,WA-0078,2024-10-22,Leak Repair,Preventive Maintenance completed for asset WA-0078,Medium,Open,Bay Utility Services,13.7,347.18,1791.48,2138.66,
WO-00010,WA-0076,2022-04-25,Preventive Maintenance,Emergency Repair completed for asset WA-0076,Low,Completed,Council Internal Crew,10.1,3977.8,954.38,4932.18,2022-05-13
WO-00013,WA-0044,2022-05-05,Inspection,Inspection completed for asset WA-0044,Low,Completed,Arawa Civil,14.0,2940.98,1228.54,4169.52,2022-05-10
WO-00014,WA-0012,2024-04-11,Pipe Replacement,Leak Repair completed for asset WA-0012,Medium,Completed,Bay Utility Services,14.1,2423.36,1821.23,4244.59,2024-04-22
WO-00015,WA-0057,2024-09-22,Pipe Replacement,Preventive Maintenance completed for asset WA-0057,Medium,Open,Arawa Civil,4.9,2603.73,442.7,3046.43,
WO-00016,WA-0040,2024-05-02,Emergency Repair,Inspection completed for asset WA-0040,Low,Cancelled,Bay Utility Services,16.1,4158.48,1535.53,5694.01,2024-05-06
WO-00017,WA-0095,2023-11-14,Emergency Repair,Pump Service completed for asset WA-0095,Medium,Completed,Rotorua Water Works,16.3,1291.47,2183.17,3474.64,2023-11-29
WO-00018,,2024-11-10,Inspection,Pipe Replacement completed for asset WA-0061,High,Open,Council Internal Crew,16.8,1585.19,1467.49,3052.68,
WO-00019,WA-0041,2022-09-20,Pump Service,Inspection completed for asset WA-0041,Low,Completed,Council Internal Crew,9.8,2318.55,945.53,3264.08,2022-09-23
WO-00020,WA-0091,2022-08-12,Inspection,Pump Service completed for asset WA-0091,High,Completed,Arawa Civil,7.4,3716.79,793.49,4510.28,2022-08-13
