work_order_id_clean,work_order_id,asset_id,maintenance_date,maintenance_type,description,priority,status,contractor,labour_hours,material_cost,labour_cost,total_cost,completion_date,asset_id_clean,maintenance_type_clean,priority_clean,status_clean,contractor_clean,maintenance_date_parsed,completion_date_parsed,labour_hours_numeric,material_cost_numeric,labour_cost_numeric,total_cost_numeric,is_duplicate_work_order_id,validation_failures_raw,validation_failures,validation_failure_count,exception_reason
WO-00006,WO-00006,WA-9999,2026-07-22,Emergency Repair,Hydrant Testing completed for asset WA-0022,Low,Completed,Bay Utility Services,7.0,3461.58,685.09,4146.67,2026-07-27,WA-9999,Emergency Repair,Low,Completed,Bay Utility Services,2026-07-22,2026-07-27,7.0,3461.58,685.09,4146.67,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00015,WO-00015,WA-0057,2024-09-22,Pipe Replacement,Preventive Maintenance completed for asset WA-0057,Medium,Open,Arawa Civil,4.9,2603.73,442.7,3046.43,,WA-0057,Pipe Replacement,Medium,Open,Arawa Civil,2024-09-22,,4.9,2603.73,442.7,3046.43,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00019,WO-00019,WA-0041,2022-09-20,Pump Service,Inspection completed for asset WA-0041,Low,Completed,Council Internal Crew,9.8,2318.55,945.53,3264.08,2022-09-23,WA-0041,Pump Service,Low,Completed,Council Internal Crew,2022-09-20,2022-09-23,9.8,2318.55,945.53,3264.08,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00031,WO-00031,WA-0035,2023-03-18,Pump Service,Leak Repair completed for asset WA-0035,Medium,Completed,Rotorua Water Works,13.3,1298.46,1585.95,2884.41,2023-04-04,WA-0035,Pump Service,Medium,Completed,Rotorua Water Works,2023-03-18,2023-04-04,13.3,1298.46,1585.95,2884.41,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00038,WO-00038,WA-0071,2025-05-15,Leak Repair,Inspection completed for asset WA-0071,High,Completed,PipeTech NZ,13.7,1321.9,1666.16,2988.06,2025-05-30,WA-0071,Leak Repair,High,Completed,PipeTech NZ,2025-05-15,2025-05-30,13.7,1321.9,1666.16,2988.06,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00040,WO-00040,WA-0041,2023-05-02,Pump Service,Preventive Maintenance completed for asset WA-0041,Medium,Completed,Council Internal Crew,16.6,500.87,2003.74,2504.61,2023-05-21,WA-0041,Pump Service,Medium,Completed,Council Internal Crew,2023-05-02,2023-05-21,16.6,500.87,2003.74,2504.61,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00046,WO-00046,WA-0046,2023-09-04,Hydrant Testing,Inspection completed for asset WA-0046,Medium,Completed,Bay Utility Services,3.0,4356.27,362.64,4718.91,2023-09-08,WA-0046,Hydrant Testing,Medium,Completed,Bay Utility Services,2023-09-04,2023-09-08,3.0,4356.27,362.64,4718.91,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00049,WO-00049,WA-0041,2026-06-08,Pipe Replacement,Leak Repair completed for asset WA-0041,Low,Completed,Rotorua Water Works,13.4,2099.55,1207.55,3307.1,2026-06-27,WA-0041,Pipe Replacement,Low,Completed,Rotorua Water Works,2026-06-08,2026-06-27,13.4,2099.55,1207.55,3307.1,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00051,WO-00051,WA-0057,2025-08-10,Pipe Replacement,Pipe Replacement completed for asset WA-0057,Low,Completed,Rotorua Water Works,1.2,4446.25,120.33,4566.58,2025-08-10,WA-0057,Pipe Replacement,Low,Completed,Rotorua Water Works,2025-08-10,2025-08-10,1.2,4446.25,120.33,4566.58,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
WO-00052,WO-00052,WA-0063,2025-10-05,Inspection,Preventive Maintenance completed for asset WA-0063,Low,Completed,PipeTech NZ,13.9,604.2,1494.93,2099.13,2025-10-06,WA-0063,Inspection,Low,Completed,PipeTech NZ,2025-10-05,2025-10-06,13.9,604.2,1494.93,2099.13,False,"[None None None None None None None None None None None None None None
 None None]",[],0,Asset ID not found in cleaned valid asset dataset
